red_model,blue_model,seed,winner,red_score,blue_score,total_turns,game_duration
bert,openai,42,blue,5,8,4,12.159130096435547
bert,openai,123,red,9,7,5,18.891236305236816
bert,openai,456,blue,3,8,4,14.278194427490234
bert,openai,789,blue,3,8,4,13.100236892700195
bert,openai,1011,blue,5,8,4,12.570252180099487
bert,openai,1213,blue,7,8,4,12.46041989326477
bert,openai,1415,blue,7,8,4,14.265228509902954
bert,openai,1617,blue,5,8,4,13.259294748306274
bert,openai,1819,red,9,6,3,9.12721586227417
bert,openai,2021,blue,8,8,4,12.626245498657227
bert,openai,2223,blue,7,8,4,12.767939567565918
bert,openai,2425,blue,7,8,4,13.864798545837402
bert,openai,2627,blue,5,8,4,12.289140462875366
bert,openai,2829,blue,8,8,4,12.220029830932617
bert,openai,3031,blue,7,8,4,12.414226293563843
bert,openai,3233,red,9,6,3,11.346139192581177
bert,openai,3435,red,9,6,3,10.31177282333374
bert,openai,3637,red,9,6,3,8.86251163482666
bert,openai,3839,blue,7,8,4,12.63732123374939
bert,openai,4041,red,9,6,3,8.640851497650146
bert,openai,4243,red,9,6,3,8.5971360206604
bert,openai,4445,red,9,7,7,24.601646184921265
bert,openai,4647,blue,7,8,4,13.00039792060852
bert,openai,4849,blue,4,8,4,13.751306056976318
bert,openai,5051,blue,6,8,4,13.435521364212036
openai,bert,42,red,9,4,3,11.364087581634521
openai,bert,123,red,9,5,3,12.109948635101318
openai,bert,456,red,9,6,3,11.380420446395874
openai,bert,789,blue,8,8,4,12.254381895065308
openai,bert,1011,red,9,5,3,10.657942533493042
openai,bert,1213,red,9,5,3,12.323852062225342
openai,bert,1415,blue,7,8,4,13.94425916671753
openai,bert,1617,red,9,2,3,9.920517683029175
openai,bert,1819,red,9,3,3,10.312177181243896
openai,bert,2021,red,9,0,3,10.342026710510254
openai,bert,2223,red,9,4,3,9.586103200912476
openai,bert,2425,red,9,2,3,11.40022325515747
openai,bert,2627,red,9,7,4,12.640299558639526
openai,bert,2829,red,9,6,3,10.240066051483154
openai,bert,3031,red,9,2,3,10.190427541732788
openai,bert,3233,red,9,6,3,9.760174751281738
openai,bert,3435,red,9,2,3,10.484428644180298
openai,bert,3637,red,9,3,3,11.585739135742188
openai,bert,3839,red,9,7,3,9.89025092124939
openai,bert,4041,red,9,6,3,10.290371179580688
openai,bert,4243,red,9,5,3,9.80007266998291
openai,bert,4445,red,9,3,3,10.28205680847168
openai,bert,4647,red,9,6,3,15.898464441299438
openai,bert,4849,red,9,6,3,11.560236692428589
openai,bert,5051,red,9,1,3,11.401877880096436
bert,gemini,42,blue,5,8,4,15.481235265731812
bert,gemini,123,blue,7,8,4,13.454049825668335
bert,gemini,456,blue,3,8,4,15.852225542068481
bert,gemini,789,blue,4,8,4,13.754607439041138
bert,gemini,1011,blue,7,8,4,13.56022047996521
bert,gemini,1213,blue,5,8,4,13.352698802947998
bert,gemini,1415,blue,6,8,4,16.147756576538086
bert,gemini,1617,blue,4,8,4,13.97357988357544
bert,gemini,1819,red,9,6,3,10.279521703720093
bert,gemini,2021,blue,8,8,4,13.457659244537354
bert,gemini,2223,red,9,7,5,20.45010280609131
bert,gemini,2425,blue,7,8,4,13.13027024269104
bert,gemini,2627,blue,7,8,6,19.230490922927856
bert,gemini,2829,blue,5,8,4,13.490309715270996
bert,gemini,3031,blue,7,8,4,16.283345460891724
bert,gemini,3233,red,9,6,3,10.37542200088501
bert,gemini,3435,red,9,6,3,10.18857192993164
bert,gemini,3637,red,9,6,3,9.981093168258667
bert,gemini,3839,blue,7,8,4,13.485069990158081
bert,gemini,4041,red,9,4,3,11.043107986450195
bert,gemini,4243,red,9,6,3,11.250003814697266
bert,gemini,4445,red,9,7,7,22.613662719726562
bert,gemini,4647,red,9,6,3,9.84036135673523
bert,gemini,4849,blue,3,8,4,18.247456550598145
bert,gemini,5051,blue,6,8,4,13.5928475856781
gemini,bert,42,blue,8,8,6,19.759451389312744
gemini,bert,123,red,9,5,5,19.821220636367798
gemini,bert,456,blue,8,8,4,15.65571928024292
gemini,bert,789,red,9,7,3,11.54480767250061
gemini,bert,1011,red,9,6,3,10.970179319381714
gemini,bert,1213,red,9,3,3,11.104239702224731
gemini,bert,1415,red,9,6,3,11.170318365097046
gemini,bert,1617,red,9,3,3,13.314388751983643
gemini,bert,1819,red,9,5,3,11.281234502792358
gemini,bert,2021,red,9,7,5,16.834913730621338
gemini,bert,2223,red,9,7,5,18.061120748519897
gemini,bert,2425,red,9,4,3,14.64661979675293
gemini,bert,2627,red,9,7,5,17.351131916046143
gemini,bert,2829,red,9,4,3,11.507229804992676
gemini,bert,3031,red,9,6,3,10.889489889144897
gemini,bert,3233,red,9,6,3,13.066904783248901
gemini,bert,3435,red,9,3,3,11.799192428588867
gemini,bert,3637,red,9,5,5,16.8694109916687
gemini,bert,3839,red,9,7,3,11.166497230529785
gemini,bert,4041,red,9,6,3,11.8076171875
gemini,bert,4243,red,9,6,3,13.398440599441528
gemini,bert,4445,red,9,6,3,12.11552095413208
gemini,bert,4647,red,9,6,3,10.850053310394287
gemini,bert,4849,red,9,6,5,16.884922742843628
gemini,bert,5051,red,9,6,5,21.840546369552612
bert,roberta,42,red,9,5,5,14.29621171951294
bert,roberta,123,red,9,4,3,8.25812292098999
bert,roberta,456,red,9,4,9,24.695698261260986
bert,roberta,789,red,9,3,7,20.96185827255249
bert,roberta,1011,blue,6,8,6,15.835379600524902
bert,roberta,1213,red,9,3,7,19.30372905731201
bert,roberta,1415,red,9,0,3,9.955402612686157
bert,roberta,1617,red,9,7,9,24.568612575531006
bert,roberta,1819,red,9,5,3,8.553417205810547
bert,roberta,2021,red,9,6,4,10.763209342956543
bert,roberta,2223,red,9,5,5,17.700692892074585
bert,roberta,2425,red,9,0,3,8.781652450561523
bert,roberta,2627,red,9,4,7,18.277613162994385
bert,roberta,2829,blue,5,8,4,10.580093622207642
bert,roberta,3031,red,9,6,5,13.778973817825317
bert,roberta,3233,red,9,0,3,10.954774379730225
bert,roberta,3435,red,9,1,3,8.555060863494873
bert,roberta,3637,red,9,1,3,8.52559208869934
bert,roberta,3839,red,9,7,7,18.792678117752075
bert,roberta,4041,red,9,2,3,8.887165784835815
bert,roberta,4243,red,9,6,3,8.553095579147339
bert,roberta,4445,red,9,7,7,21.362398147583008
bert,roberta,4647,red,9,2,3,8.646921396255493
bert,roberta,4849,red,9,3,9,23.513667821884155
bert,roberta,5051,blue,8,8,6,20.542762756347656
roberta,bert,42,blue,7,8,7,18.387927055358887
roberta,bert,123,red,9,6,11,27.793441772460938
roberta,bert,456,blue,6,8,4,13.522449970245361
roberta,bert,789,blue,7,8,4,11.08523964881897
roberta,bert,1011,blue,4,8,4,11.00980281829834
roberta,bert,1213,red,9,6,5,13.485356092453003
roberta,bert,1415,red,9,6,3,8.715550422668457
roberta,bert,1617,blue,4,8,6,18.31016969680786
roberta,bert,1819,red,9,3,3,8.552966833114624
roberta,bert,2021,red,9,2,3,8.877182722091675
roberta,bert,2223,blue,8,8,6,16.245192527770996
roberta,bert,2425,red,9,6,5,18.205350399017334
roberta,bert,2627,red,9,6,5,14.05132794380188
roberta,bert,2829,blue,7,8,6,15.999241590499878
roberta,bert,3031,red,9,6,3,8.502220869064331
roberta,bert,3233,blue,2,8,4,11.297014713287354
roberta,bert,3435,red,9,2,3,10.964722871780396
roberta,bert,3637,blue,8,8,6,16.13431739807129
roberta,bert,3839,red,9,5,7,19.051923036575317
roberta,bert,4041,blue,7,8,4,10.820399045944214
roberta,bert,4243,blue,5,8,4,12.6899995803833
roberta,bert,4445,blue,5,7,6,13.385497093200684
roberta,bert,4647,blue,7,8,4,11.06501817703247
roberta,bert,4849,blue,7,8,8,21.100289583206177
roberta,bert,5051,blue,8,8,8,25.910392999649048
openai,gemini,42,red,9,6,3,12.366445064544678
openai,gemini,123,red,9,6,3,12.103917837142944
openai,gemini,456,red,9,6,3,12.704829931259155
openai,gemini,789,blue,8,8,4,18.322551012039185
openai,gemini,1011,red,9,6,3,12.348243951797485
openai,gemini,1213,red,9,6,3,12.225111484527588
openai,gemini,1415,blue,7,8,4,16.507009744644165
openai,gemini,1617,red,9,6,3,15.08069634437561
openai,gemini,1819,red,9,6,3,12.290360450744629
openai,gemini,2021,red,9,6,3,11.952412605285645
openai,gemini,2223,red,9,4,3,12.618854284286499
openai,gemini,2425,red,9,6,3,12.267240047454834
openai,gemini,2627,red,9,7,5,24.270434379577637
openai,gemini,2829,red,9,6,3,12.58466362953186
openai,gemini,3031,red,9,2,3,12.173071146011353
openai,gemini,3233,red,9,6,3,12.372605085372925
openai,gemini,3435,red,9,6,3,14.51199460029602
openai,gemini,3637,red,9,6,3,12.148648738861084
openai,gemini,3839,red,9,6,3,12.329982995986938
openai,gemini,4041,red,9,3,3,12.920430421829224
openai,gemini,4243,red,9,6,3,12.160375833511353
openai,gemini,4445,red,9,2,3,14.391376256942749
openai,gemini,4647,red,9,6,3,12.18333125114441
